date,universe,n,adv,dec,up_vol,dn_vol,up4,dn4,up25q,dn25q,up13_34,dn13_34,nh,nl,p_ab20,p_ab40,p_ab50,p_ab200,p_stack,p_s1,p_s2,p_s3,p_s4
2024-08-30,sp500,499,439,58,213,25,5,1,39,9,89,26,65,2,91.78,82.57,81.56,81.85,70.14,10.28,78.02,3.83,7.86
2024-09-03,all,3913,703,3105,317,882,45,503,461,657,387,1218,71,89,54.87,47.71,50.52,52.01,49.38,16.46,48.64,3.44,31.46
2024-09-03,nasdaq,2789,474,2230,189,599,34,369,352,611,286,1048,19,74,48.56,41.55,44.06,44.34,42.64,17.6,40.4,4.04,37.96
2024-09-03,r2000,1855,244,1568,123,407,21,290,268,178,177,482,18,30,61.65,52.62,57.13,59.91,57.29,16.49,56.79,3.13,23.58
2024-09-03,scan,153,21,132,14,24,3,16,44,0,21,0,0,0,94.12,97.39,100.0,100.0,98.69,0.0,100.0,0.0,0.0
2024-09-03,sp500,499,141,356,80,157,2,58,35,12,54,51,43,4,73.15,68.94,70.54,78.02,69.74,14.31,75.0,3.02,7.66
2024-09-04,all,3915,1623,2123,407,481,73,64,426,653,418,1173,65,75,52.45,46.45,49.69,51.93,48.32,16.53,48.54,3.44,31.48
2024-09-04,nasdaq,2791,1170,1477,286,298,65,54,338,611,324,1007,19,63,47.25,40.75,43.52,44.57,41.37,17.25,40.68,3.97,38.1
2024-09-04,r2000,1855,729,1065,184,211,30,30,241,180,182,468,22,22,57.5,50.08,55.39,59.97,56.1,16.55,56.84,3.13,23.47
2024-09-04,scan,137,72,64,18,12,6,1,41,0,34,0,0,0,91.97,98.54,100.0,100.0,100.0,0.0,100.0,0.0,0.0
2024-09-04,sp500,499,237,261,59,90,3,4,23,9,49,36,33,6,70.54,66.73,68.94,76.61,68.94,15.73,73.59,3.02,7.66
2024-09-05,all,3915,1417,2325,376,549,91,101,433,673,455,1081,35,65,47.68,44.44,48.24,50.91,46.75,17.16,47.81,3.17,31.86
2024-09-05,nasdaq,2791,1068,1572,257,347,78,76,344,626,355,925,17,47,44.0,39.45,42.75,43.81,40.14,17.84,40.16,3.74,38.26
2024-09-05,r2000,1855,646,1153,177,266,47,57,238,190,217,419,19,26,51.08,47.21,53.33,58.95,53.77,16.82,56.13,2.86,24.19
2024-09-05,scan,123,61,61,12,9,3,0,42,0,39,0,1,0,88.62,97.56,100.0,100.0,98.37,0.0,100.0,0.0,0.0
2024-09-05,sp500,499,128,367,49,106,3,6,26,10,47,35,9,4,61.72,64.53,66.13,73.79,67.54,17.94,71.37,2.42,8.27
2024-09-06,all,3917,755,3023,285,813,40,253,414,698,434,1137,26,114,33.5,36.58,42.12,48.11,43.25,19.61,45.28,2.88,32.22
2024-09-06,nasdaq,2793,558,2111,197,516,31,198,330,650,333,965,7,86,31.47,32.42,37.51,41.16,37.25,20.04,37.79,3.44,38.73
2024-09-06,r2000,1855,302,1512,116,364,22,147,230,206,204,454,13,48,32.9,37.21,45.83,55.6,49.19,19.96,53.0,2.64,24.41
2024-09-06,scan,68,22,45,16,9,3,4,25,0,33,0,1,0,88.24,100.0,100.0,100.0,98.53,0.0,100.0,0.0,0.0
2024-09-06,sp500,499,80,416,50,184,0,23,18,10,51,42,8,7,43.49,55.51,57.72,70.56,63.13,20.97,68.15,2.42,8.47
2024-09-09,all,3917,2190,1579,696,577,168,91,383,705,403,1199,48,90,36.14,38.69,43.26,49.23,40.65,18.66,45.94,3.36,32.04
2024-09-09,nasdaq,2793,1531,1136,433,393,148,69,306,652,300,1015,19,64,33.91,34.59,38.79,42.6,35.09,18.99,38.54,4.15,38.32
2024-09-09,r2000,1855,958,839,305,329,93,56,214,221,176,497,22,49,33.91,37.59,45.48,55.54,45.15,19.85,52.67,2.91,24.57
